text,language
things that go bump in the night,English
keep it under your hat,English
die laaitie se hakskene word rooi,Afrikaans
earmark,English
bums on seats,English
riddle wrapped up in an enigma  a,English
a thing of beauty is a joy forever,English
cor blimey,English
level playing field,English
as jy nie uit jou foute leer nie is daar geen sin om hulle te maak nie,Afrikaans
call of the wild  the,English
curry favour,English
bandy words,English
what are you like,English
technicolor yawn,English
nuuskierige agies hoort in die wolwehok,Afrikaans
more honoured in the breach than in the observance,English
black sheep of the family,English
as jy by iemand se vuur gaan sit moet jy eers kyk van watter kant die wind waai,Afrikaans
feather in ones cap  a,English
tits up,English
beware of greeks bearing gifts,English
as armoede by die voordeur inkom gaan liefde by die agterdeur uit,Afrikaans
geld in die water gooi,Afrikaans
poetic justice,English
waar bloed nie kan kruip nie loop dit,Afrikaans
’n dronk man val nie ver van die bar nie,Afrikaans
waar jy nie die daad kan weglieg nie kan jy altyd ‘n ekskuus bylieg,Afrikaans
run the gauntlet,English
die lewe is nie net swart en wit nie,Afrikaans
mal de mer,English
wish you were here,English
young turk,English
no truck with,English
no rest for the wicked,English
win hands down,English
verskoon my frans,Afrikaans
as happy as a sandboy,English
the pot calling the kettle black,English
tanstaafl  theres no such thing as a free lunch,English
politically correct,English
lardydardy,English
bobs your uncle,English
as busy as a bee,English
suspension of disbelief,English
as die muis dik is is die kaas bitter,Afrikaans
a drop in the ocean,English
red tape,English
ones hearts content,English
action man,English
elementary my dear watson,English
flogging a dead horse,English
point to point,English
gert erf is gert swerf,Afrikaans
friday afternoon car,English
identity theft,English
the pen is mightier than the sword,English
first water,English
jors praat al weer engels,Afrikaans
innocent until proven guilty,English
jump the gun,English
boogiewoogie,English
dont have a clue,English
man after my own heart  a,English
above board,English
moet nooit ‘n apologie met ‘n verskoning bederf nie,Afrikaans
horses mouth  straight from the,English
die moeilikste besluite in die lewe is om te besluit watter brûe om oor te steek en watter om te verbrand,Afrikaans
a good man is hard to find,English
cost an arm and a leg,English
as good luck would have it,English
in the cart,English
butter wouldnt melt in his mouth,English
all at sea,English
‘n duit in die armbeurs gooi,Afrikaans
run out of steam,English
like being savaged by a dead sheep,English
richard the third,English
in the twinkling of an eye,English
to the nth degree,English
frailty thy name is woman,English
up the wooden hill to bedfordshire,English
nul points,English
some men are born mediocre some men achieve mediocrity and some men have mediocrity thrust upon them,English
as happy as a clam,English
wat is die belangrikste – geluk of sukses,Afrikaans
the writing is on the wall,English
maak die pas van die natuur jou eie – haar geheim is geduld en volharding,Afrikaans
grace of god  there but for,English
hie vlie woerts om die hoekie,Afrikaans
cock a snook,English
weasel words,English
whole nine yards  the,English
get on my wick,English
guinea pig,English
dutch  my old,English
platsak wees,Afrikaans
gone for a burton,English
kickin  alive and,English
redhanded caught,English
knight in shining armour,English
household words,English
so tussen die by en die koek,Afrikaans
a knight in shining armour,English
beetlebrowed,English
wrong end of the stick  the,English
forbidden fruit,English
chain is only as strong as its weakest link  a,English
shakespeare phrases and sayings of,English
fait accompli,English
blonde bombshell,English
dis nie alle goud wat blink nie,Afrikaans
we know where you live,English
la dolce vita,English
batten down the hatches,English
prick up your ears,English
waar jy nie self by is nie word jou gesig nie gewas nie,Afrikaans
acronyms,English
nooit gedink my blindederm sal lank genoeg wees nie,Afrikaans
raze to the ground,English
vir ‘n man horings opsit,Afrikaans
bottomup,English
wholehearted,English
green eyed monster,English
stitch in time saves nine  a,English
better to have loved and lost than never to have loved at all,English
skat jou bekwaamheid te min om mee te spog en jou karakter te goed om mee te speel dan sal jy jou selfrespek bewaar en die respek van jou medemens verseker daar is maar een soort wat hul deugde onderskat – dis die werklik bekwames,Afrikaans
jy hou jou rammetjieuitnek,Afrikaans
women and children first,English
ill wind,English
fellow traveller,English
aidemémoire,English
one over the eight,English
trip the light fantastic,English
out of sight out of mind,English
born again,English
hy lag al die pad bank toe,Afrikaans
word for word,English
strait and narrow,English
by your leave,English
counting sheep,English
geen nieuws goed nieuws,Nederlands
storm in a teacup,English
close but no cigar,English
put the mockers on,English
jy moet onder sy arm gaan ruik,Afrikaans
pound of flesh,English
best bib and tucker,English
stool pigeon,English
lifes not all beer and skittles,English
how sharper than a serpents tooth it is to have a thankless child,English
go haywire,English
im stumped,English
rank and file,English
zoals de waard is vertrouwt hij zijn gasten,Nederlands
eaten out of house and home,English
butter side down,English
silly season,English
rise and shine,English
sy is so klein sy verdwaal in ‘n telefoonhokkie,Afrikaans
cut the mustard,English
whole kit and caboodle  the,English
on the ball,English
pigs might fly,English
browned off,English
iets is beter as niks,Afrikaans
they couldnt hit an elephant at this distance,English
cloud nine,English
show a leg  see shake a leg,English
bewaar jou gebeente,Afrikaans
haar haan moet altyd koning kraai,Afrikaans
daniel come to judgement,English
up in arms,English
blot on the landscape,English
is this a dagger which i see before me,English
butterfingers,English
marry in haste repent at leisure,English
colour up,English
ons is wat ons herhaaldelik doen perfeksie is derhalwe nie ‘n daad nie maar ‘n gewoonte,Afrikaans
as cold as any stone,English
a word in your shelllike,English
to boldly go where no man has gone before,English
daylight robbery,English
hy is gedwee soos ‘n delwersdonkie,Afrikaans
you can lead a whore to culture but you cant make her think,English
dit is met geen goud te betaal nie,Afrikaans
oude liefde roest niet,Nederlands
happy as larry,English
derringdo,English
a man after my own heart,English
the skys the limit,English
mexican wave,English
dont die like i did,English
hy is blikners gery,Afrikaans
hy is baie kamp,Afrikaans
heebiejeebies  the,English
cold shoulder,English
we are not amused,English
peter out,English
gooi weg die blink horlosies – werk van sonop tot sononder en die plaas is jou baas – nie jy nie,Afrikaans
moet nooit aftree nie dis beter om te verslyt as om te verroes,Afrikaans
ticked off,English
van werk word ek nooit nooit moeg nie – wat my gedaan maak is die werk wat lê en wag,Afrikaans
while you live tell truth and shame the devil,English
clodhopper,English
hy groei deur sy hare,Afrikaans
die man met min woorde se rekenaar is so kompak dat daar nie plek is vir kaf nie,Afrikaans
heads up,English
nip and tuck,English
turn the tables,English
bone up on,English
’n warm hart steek die ander aan die brand,Afrikaans
tawdry,English
rosie lea,English
just deserts,English
hear hear,English
as queer as a nine bob note,English
nestegg,English
ps and qs  mind your,English
test your mettle  see show your mettle,English
busy as a bee,English
local derby,English
geleentheid maak die dief,Afrikaans
in the pink,English
say goodnight gracie,English
camera cannot lie  the,English
the land of nod,English
necessity is the mother of invention,English
colouredspreekwoorde was vroeër die week die gewildste onderwerp op twitter in suidafrika ons het so ‘n paar geskraap  klik op die skakel vir coloured spreekwoorde,Afrikaans
hy was kleindag so onbeskof,Afrikaans
eye candy  see ear candy,English
pull the wool over your eyes,English
eat my hat,English
sy vertel hom waar die bus stop,Afrikaans
bowled a maiden over,English
raining stairrods,English
sy kan die agterbeen van ‘n donkie afpraat,Afrikaans
someone is walking over my grave,English
delusions of grandeur,English
bad hair day,English
white elephant,English
clutch at straws,English
wear your heart on your sleeve,English
fuzzy wuzzy,English
fixerupper,English
knock back,English
blown to smithereens,English
to big for your breeches,English
let there be light,English
cloud cuckoo land,English
in die sand byt,Afrikaans
dis ‘n tragedie as daar iets in jou sterf terwyl jy nog lewe,Afrikaans
cook the books,English
old hat,English
little bird told me  a,English
jot or tittle,English
met geweld kan mens jou duim in jou hol afbreek,Afrikaans
start from scratch,English
dis nou druiwe na die boland stuur,Afrikaans
bane of your life,English
dit ruik na geld,Afrikaans
elbowgrease,English
no way jose,English
apple pie order,English
differently abled,English
moenie jou pêrels voor die swyne werp nie,Afrikaans
close your eyes and think of england,English
as nice as ninepence,English
without so much as a by your leave,English
salad days,English
piet pompies van soetmelksvlei is nie van hier nie,Afrikaans
mumbo jumbo,English
heavens to betsy,English
sou daar ‘n weersien wees of is ons verdoem tot verpulwerde deeltjies van eens warm vlees,Afrikaans
gee whiz,English
nothing succeeds like success,English
fruits of your loins,English
die has been cast  the,English
flavor of the month,English
proof of the pudding is in the eating  the,English
hard and fast,English
die ding lyk maar tonteldoek,Afrikaans
common sense,English
a ministering angel shall my sister be,English
bell book and candle,English
mares nest,English
bun in the oven,English
hy loop aandklas,Afrikaans
pull your horns in,English
a fish rots from the head down,English
neither fish nor flesh nor good red herring,English
absolute power corrupts absolutely,English
well heeled,English
elvis has left the building,English
pour oil on troubled waters,English
back to square one,English
riley  the life of,English
infra dig,English
ek sien die veld die bosse berge vlakte ek hoor hoe fluister grasse stroom en wind o heer u sorg vir klein vir groot vir alles en u sorg dag na dag vir my u kind,Afrikaans
jy steek jou kop in n bynes,Afrikaans
gemoedskalmte en beheersug sit nie in dieselfde leunstoel nie,Afrikaans
course of true love never did run smooth  the,English
pictureperfect,English
liefde maakt blind,Nederlands
safe pair of hands  a,English
living daylights,English
in the club,English
paddle your own canoe,English
beggars cant be choosers,English
hy is so haastig dat hy sy brood koud blaas en sy koffie kou ‘n slegte dag het hy beskryf “dit was ste graad van laaste graad ‘n goeie dag was laaste graad van ste graad,Afrikaans
carry coals to newcastle,English
coals to newcastle  carry,English
laurels  rest on ones,English
an eye for an eye a tooth for a tooth,English
i have nothing to declare but my genius,English
as old as methuselah,English
cocksure,English
a dog is a mans best friend,English
van ’n donkie kan jy ’n skop verwag,Afrikaans
die beste manier om ‘n goeie indruk op iemand te maak is om hom die geleentheid te gee om ‘n goeie indruk op jou te maak,Afrikaans
blue blood,English
rub of the green,English
ask a silly question and youll get a silly answer,English
om te dink is maklik om te doen is moeilik om te doen soos ‘n mens dink is die moeilikste van alles,Afrikaans
nation of shopkeepers  a,English
if the shoe fits,English
die lewe sonder humor is soos ‘n kar sonder vere dit kan die stampe van die lewenspad nie absorbeer nie,Afrikaans
binge drinking,English
jors het die naweek weer netjies gevat nou’s hy weer tieprag op die maandag,Afrikaans
julle kan dink en praat soos julle voel en oortuig is ek sal dit respekteer maar moenie die houding van aagg watt aankweek nie,Afrikaans
wat is jy ‘n besitter van of ‘n besitting van jou bates,Afrikaans
tickle the ivories,English
shot heard round the world  the,English
ontwyk die uitvraer want hy is ook ‘n verklapper,Afrikaans
a priori,English
man does not live by bread alone,English
hold your horses,English
hit the nail on the head,English
‘n blinde hoender vind ook ‘n korreltjie,Afrikaans
pot calling the kettle black  the,English
a bunch of fives,English
thats all folks,English
foot of our stairs  the,English
what a piece of work is man,English
in stitches,English
a plague on both your houses,English
montezumas revenge,English
loop soos ‘n hen wat nes soek,Afrikaans
biblical phrases,English
point percy at the porcelain,English
met ‘n aalwynpil in jou kies loop,Afrikaans
plooie pyn nie,Afrikaans
little of what you fancy does you good  a,English
wat laat oom japie weer die grootsê so hoog uit die takke haal,Afrikaans
iemand afpoeier,Afrikaans
as jy skop kan jy nie trek nie en as jy trek kan jy nie skop nie,Afrikaans
hit the ground running,English
french phrases,English
famous last words the ironic phrase,English
cheap at half the price,English
oh they have slain the earl of moray and lady mondegreen,English
op iemand se dak afklim,Afrikaans
dead ringer,English
fly off the handle,English
my cup of tea,English
dust up,English
burning the midnight oil,English
geleenthede gaan by mense verby omdat dit ‘n oorpak aan het en na werk lyk,Afrikaans
langnekkaatjie soen,Afrikaans
in a quandary,English
the moving finger writes,English
queer street,English
a diamond is forever,English
sy is so vet as sy by die trein uitklim kan almal asem haal,Afrikaans
je moet geen slapende honden wakker maken,Nederlands
hou jou oë goed oop voor die huwelik en halftoe daarna,Afrikaans
neither here nor there,English
coin a phrase,English
pull in your horns,English
a fool and his money are soon parted,English
bean counter,English
rome is nie in een dag gebou nie so gaan jou gang rustig  hoe meer haas hoe minder spoed,Afrikaans
survival of the fittest,English
cold feet,English
stand up guy,English
badger to death,English
pip  get thegot the have the,English
jy kan nie met skoon hande modder gooi nie nog minder met ‘n rein mond gif spoeg,Afrikaans
dis ‘n goeie boeregewoonte ‘n mens kom nooit met leë hande by iemand aan nie…en jy stuur hom ook nie met leë hande weg nie,Afrikaans
fools gold,English
wild goose chase,English
beam ends  on your,English
whistle and flute,English
het hart zonk hem in zijn schoenen,Nederlands
behind the eight ball,English
jors se gat stamp,Afrikaans
hankypanky,English
he will give the devil his due,English
hy is ‘n wolf in skaapklere,Afrikaans
as jy nie daarin slaag om te beplan nie beplan jy om nie te slaag nie,Afrikaans
time and tide wait for no man,English
ons moet die kwaadpraat met goedpraat doodpraat,Afrikaans
go like the clappers,English
champ at the bit,English
jimmy horner,English
put on your thinking cap,English
hy probeer hoër vlieg as wat sy vlerke lank is,Afrikaans
push the envelope,English
chaise lounge,English
gou met die pen,Afrikaans
short shrift,English
accidents will happen,English
sleep like a top,English
brown as a berry,English
true blue,English
full tilt,English
my old dutch,English
sorg dat jy nooit jou geld belê in enigiets wat eet of wat geverf moet word nie,Afrikaans
hoe groter gees hoe groter bees,Afrikaans
makkelijker gezegd dan gedaan,Nederlands
heavens to murgatroyd,English
raise cain,English
king james version of the bible,English
draai jou mantel na die wind,Afrikaans
vir kwaadgeld rondloop,Afrikaans
monty  the full,English
hy is gesout teen masels,Afrikaans
something for the weekend sir,English
in a cleft stick,English
left in the lurch,English
die mooiweer sal jou nie beskadig omdat jy jou jas en sambreel verniet saamgeneem het nie,Afrikaans
face the music,English
preaching to the choir,English
topsyturvy,English
make a beeline for,English
tongue in cheek,English
hulle krap op plekke waar hulle nie jeuk nie en ander jeuk weer op plekke waar hulle nie kan krap nie,Afrikaans
stone the crows,English
pork pies,English
steal a march,English
two heads are better than one,English
word in edgeways  a,English
misquotes,English
hy is ganspen,Afrikaans
game is afoot  the,English
a rose is a rose is a rose,English
ethnic cleansing,English
so maklik soos brood en botter,Afrikaans
bet your bottom dollar,English
old as the hills,English
tattoo phrases and sayings,English
gild the lily,English
take umbrage,English
bezint eer gij begint,Nederlands
jam tomorrow,English
‘n graaf was my pen en die grond was my boek,Afrikaans
save ones bacon,English
jacob is doringskof vir julius,Afrikaans
bid vir ‘n goeie oes maar hou aan werk,Afrikaans
cart before the horse  put the,English
jy kan nie uitdeel wat jy nie het nie,Afrikaans
almanakke druk,Afrikaans
hy is ‘n gladde kêrel,Afrikaans
born within the sound of bow bells,English
three sheets to the wind,English
fine words butter no parsnips,English
ring a ring oroses a pocketful of posies atishoo atishoo all fall down,English
warm onder die boordjie wees,Afrikaans
crack of doom  the,English
sy is ‘n diamant in my kroon,Afrikaans
foul play,English
much ado about nothing,English
aid and abet,English
hy het rooimiere,Afrikaans
ons  se geheim aanpasbaarheid,Afrikaans
bakers dozen,English
keep your pecker up,English
surf and turf,English
just in time,English
tout de suite,English
de puntjes op de i zetten,Nederlands
run rings around,English
jump on the bandwagon,English
dont try to teach your grandma to suck eggs,English
get off on the wrong foot,English
brownie points,English
handle with kid gloves,English
pasop vir my groottoon hy hou van stamp,Afrikaans
be still my beating heart,English
far be it from me,English
laat ek vir jou vertel wat vis innie kaap kos,Afrikaans
loaf of bread,English
toe the line,English
huggermugger,English
no room to swing a cat,English
hung drawn and quartered,English
rat arsed,English
big fish in a small pond  a,English
sak sarel pa wil n springbok skiet op dooierus,Afrikaans
far from the madding crowd,English
bokveld toe gaan,Afrikaans
hangskouers soos ‘n kasteroliebottel,Afrikaans
rack and ruin,English
hands down,English
take the cake,English
pointandclick,English
a stitch in time saves nine,English
abide with me,English
keep your hands clean,English
mind your ps and qs,English
draw a blank,English
all fingers and thumbs,English
piece of piss,English
alive and kicking,English
theres an r in the month,English
a riddle wrapped up in an enigma,English
go dolally,English
as die pappot oorkook maak dit ‘n gemors – ook van homself,Afrikaans
we have seen better days,English
much of a muchness,English
my bad,English
silence is golden,English
has the cat got your tongue,English
dog days,English
on the dole,English
sandwich short of a picnic,English
stinking rich,English
hy doen dermwerk,Afrikaans
dollars to donuts,English
zigzag,English
ball and chain,English
blind leading the blind  the,English
a pig in a poke,English
jy beny my blink skoene omdat jy nie weet van die liddorings wat binne pyn nie,Afrikaans
greased lightning,English
fathom out,English
see red,English
moenie al die aanbrandsel uit jou pot krap nie,Afrikaans
all you can eat,English
rose by any other name would smell as sweet  a,English
smoke and mirrors,English
chopchop,English
dit afklink,Afrikaans
left hand doesnt know what the right hand is doing,English
dis nie ‘n pyp dagga werd nie,Afrikaans
wyse woorde val dikwels op bar grond maar ‘n vriendelike woord word nooit misken nie,Afrikaans
die geheim om te verveel is om alles te vertel,Afrikaans
clear blue water,English
jou karakter soos die fondamente van ‘n huis is onder die oppervlakte,Afrikaans
space the final frontier,English
touch with a bargepole  wouldnt,English
by the book,English
pigs ear,English
my better half,English
ek verwonder my dat daardie sterk vrou so skielik dood is en daardie siek man so lank leef…,Afrikaans
big apple  the,English
even at the turning of the tide,English
waar aas is vergader die arende,Afrikaans
heavy metal,English
shit for brains,English
piece of the action,English
neer do well,English
tot by oom daantjie in die kalwerhok,Afrikaans
my stars and garters,English
full to the gunwales,English
alle begin is moeilijk,Nederlands
sy gewete is toegeskroei,Afrikaans
dreams of empire,English
on the bubble,English
it aint over till the fat lady sings,English
soapdodger,English
in a pigs eye,English
zero tolerance,English
ons is gebore om die waarheid na te streef – om dit te besit is die voorreg van ‘n hoër mag,Afrikaans
a little knowledge is a dangerous thing,English
knock off,English
share and share alike,English
rule of thumb,English
rhyme nor reason,English
exception that proves the rule  the,English
my salad days,English
hobbyhorse,English
whole shebang  the,English
geld groei nie aan bome nie,Afrikaans
pears for your heirs,English
frogs hair as fine as,English
body surfing,English
moenie die krag onderskat van dom mense in groot getalle nie,Afrikaans
real mccoy,English
funny farm,English
how do you do,English
grist to the mill,English
faff about,English
ginger up,English
gebraaide duiwe vlieg niemand in die mond nie,Afrikaans
wolf in sheeps clothing,English
balance of power  the,English
piss and vinegar  full of,English
blow a raspberry  see raspberry tart,English
homonyms,English
word association football,English
agter geld soos die duiwel agter ‘n siel aan,Afrikaans
surfing the netsurfing the internetsurfing the web,English
lead balloon  go over like a,English
frog in the throat  a,English
its better to give than to receive,English
early to bed and early to rise makes a man healthy wealthy and wise,English
die manier om ‘n goeie reputasie te kry is om eerlik te streef na die beeld wat jy wil wees,Afrikaans
between a rock and a hard place,English
make a pigs ear of,English
dont call us well call you,English
crapper  the,English
by die duiwel gaan bieg,Afrikaans
multitude of sins,English
put a damper on,English
jan van rooy vang ‘n vlooi – poef hom rooi en sê – dis mooi,Afrikaans
jou roes uitslaap,Afrikaans
down the tubes,English
your name is mud,English
to all intents and purposes,English
wees dankbaar as jou kinders dik snye brood vra – meel is goedkoper as medisyne,Afrikaans
good riddance,English
stark raving mad,English
fight the good fight,English
a nobrainer,English
derdemannetjie speel,Afrikaans
a feather in ones cap,English
old codger,English
caught redhanded,English
seks is soos jou salaristjek mens praat nie regtig daaroor nie want netnou kry die ander ou meer as jy,Afrikaans
die beste een vinnigste manier om ander mens te waarder is om te probeer om hulle werk te doen,Afrikaans
quarter  give no,English
shuffle off this mortal coil,English
ek voel bietjie koponderdievlerk,Afrikaans
dead as a doornail,English
carpe diem gryp die dag,Afrikaans
youll wonder where the yellow went when you brush your teeth with pepsodent,English
geen woorden maar daden,Nederlands
there is no alternative,English
al die suksesse in die wêreld is gebaseer op toewyding en ‘n goeie wil,Afrikaans
the bitter end,English
hy staan op die dak  – ingestuur deur june edwards,Afrikaans
life of riley,English
oh my stars and garters,English
penny saved is a penny earned  a,English
een ongeluk komt zelden alleen,Nederlands
standing on the shoulders of giants,English
the penny drops,English
make haste,English
driving while black,English
walk the plank,English
barking up the wrong tree,English
keepyuppy,English
je moet geen oude koeien uit de sloot halen,Nederlands
ministering angel shall my sister be  a,English
sy trek holrug,Afrikaans
auld lang syne,English
hy het miere,Afrikaans
high horse  get off your,English
good in parts,English
dish fit for the gods  a,English
devil take the hindmost  the,English
beggar belief,English
fed up,English
cold enough to freeze the balls off a brass monkey,English
scott sir walter  phrases coined by,English
vice versa,English
golden key can open any door  a,English
ill be there with bells on,English
to big for your boots,English
nod  the land of,English
cockahoop,English
know the ropes,English
to be or not to be that is the question,English
love that dare not speak its name  the,English
sticky wicket,English
crop up,English
he who can does he who cannot teaches,English
fall from grace,English
going to hell in a handbasket,English
dirt bag,English
wat regtig saak maak is wat jy leer terwyl jy reeds alles weet,Afrikaans
nail your colours to the mast,English
cottonpicking,English
stiffen the sinews,English
daai jors kan vir jou lank ploeg,Afrikaans
the last straw,English
bought the farm,English
kangaroo court,English
dash to pieces,English
hy het ‘n hallelujagesig en jazzvoete,Afrikaans
beyond belief,English
bird in the hand is worth two in the bush  a,English
as snug as a bug in a rug,English
sea change,English
chick flick,English
the game is up,English
best laid schemes of mice and men  the,English
carboncopy,English
all things come to he who waits,English
under the thumb,English
cut off your nose to spite your face,English
daar is slegte bloed tussen hulle,Afrikaans
die gautengers lê witpens op kampsbaai se strand,Afrikaans
crocodile tears,English
bite the bullet,English
cool britannia,English
thinking cap,English
fell swoop  at one,English
the usual suspects,English
a countenance more in sorrow than in anger,English
sent to coventry,English
hy het al harde korsies gebyt,Afrikaans
die lewe is soos ‘n “niggerball” hy breek jou tande maar jy hou aan suig,Afrikaans
fancy pants,English
walter scott phrases coined by,English
acid test,English
coming in on a wing and a prayer,English
cliffhanger,English
die gefluisterde woord trek verder as die harde geskreeu,Afrikaans
for all intents and purposes,English
read the riot act,English
three strikes and you are out,English
bloodyminded,English
a sight for sore eyes,English
richard of york gave battle in vain,English
beelzebub has a devil for a sideboard,English
spick and span,English
harp on,English
onder die besemstok staan,Afrikaans
dressed to the nines,English
jy is nou by die verkeerde adres,Afrikaans
blackonblack,English
dickybird  not a,English
dropping like flies,English
never look a gift horse in the mouth,English
yellow peril,English
compassion fatigue,English
nog groenvoer op die land hê,Afrikaans
die rol van mawees is moontlik die belangriste beroep wat enige vrou kan beoefen,Afrikaans
harbinger of doom,English
veel geskreeu en weinig wol,Afrikaans
men in suits,English
eeny meeny miny mo,English
dieselfde water draai die verstandige man se meule wat die dwaas se grond verspoel,Afrikaans
first world,English
die prys van vryheid is ewige waaksaamheid,Afrikaans
loose lips sink ships,English
flotsam and jetsam,English
die verhouding tussen hoofman en werknemeres is soos dié tussen die wind en die gras die gras moet buig as die wind daaroor waai,Afrikaans
wild and woolly,English
talk of the devil,English
skin and blister,English
the balance of power,English
eat drink and be merry,English
happy slapping,English
loose cannon,English
die druiwestokke werk met hom,Afrikaans
‘n mens weet meer van ‘n pad deur dit te bewandel as deur al die voorstellings en beskrywings in die wêreld – as jy jou oë oophou en sien wat jy sien,Afrikaans
the elephant in the room,English
saartjie soen,Afrikaans
okeydokey,English
devil incarnate  the,English
‘n stuiwer in die armbeurs gooi,Afrikaans
at ones beck and call,English
so besig soos n miernes wees,Afrikaans
wonder waar was jors en sy meisie gisteraand sy het al weer kruipknietjies,Afrikaans
liewers ‘n kort skande as ‘n lang verdriet,Afrikaans
love is blind,English
fish rot from the head down,English
belle of the ball,English
run amok,English
magical realism,English
rum do,English
“die beste vakansie is die een waar die vrouens byt en die muskiete nie”,Afrikaans
hotblooded,English
popular fallacies  the nonsense nine,English
wide berth  keep a,English
jors is goed geolie,Afrikaans
daft as a brush,English
vanish into thin air,English
petty cash,English
raining cats and dogs,English
spitting image,English
in my minds eye,English
mud  your name is,English
press into service,English
blast from the past  a,English
not playing with a full deck,English
fall guy,English
sit die babatjie op iemand anders se drumpel,Afrikaans
the early bird catches the worm,English
in like flynn,English
cockup,English
die reêlmaat van seisoene is ononderhandelbaar waar nou die dag nog niks was nie rinkink die kleure en geur gratis en verniet die winterslaap was maar net die broeimasjien van die huidige kleur en geur,Afrikaans
thorn in the flesh,English
ganse aanja,Afrikaans
behandel die vreemdeling goed maar wees versigtig om hom die kans te gee om jou te behandel,Afrikaans
die boer se voetspore is die beste misstof op die land,Afrikaans
catch,English
dock your pay,English
get  underway,English
die meisies by tukkies is gek oor mieliestamp,Afrikaans
fashion victim,English
dit kom nog uit noag se ark saam met metusalem,Afrikaans
baby father,English
get off your high horse,English
big cheese  the,English
abracadabra,English
the cut of your jib,English
shake a leg,English
keep a stiff upper lip,English
om jou op die haaivlakte te bevind,Afrikaans
revenge is a dish best served cold,English
canteen culture,English
get thee behind me satan,English
back of beyond  the,English
riding shotgun,English
boxseat  in the,English
not for all the tea in china,English
farmers,English
wie de schoen past trekke hem aan,Nederlands
once more unto the breach dear friends once more,English
cleft stick  in a,English
rhyming slang,English
a sea change,English
a load of codswallop,English
chris van rooyen “hy het ‘n klein koppie soos ‘n ver gooi kierie”,Afrikaans
spend a penny,English
living on borrowed time,English
sy doopseel lig,Afrikaans
dit is te dik vir ‘n daalder,Afrikaans
